street_id,street_address,latitude,longitude,ZEDZ(inside =1),pop_distribution,parcel_delivered(#/year),parcel_delivered(#/day),parcel_delivered(kg/day),USPS_Depot_name,USPS_Depot_parcel(kg),UPS_Depot_name,UPS_Depot_parcel(kg),Amazon_Depot_name,Amazon_Depot_Depot_parcel(kg),FedEX_Depot_name,FedEX_Depot_parcel(kg)
117,"Adelaide Place, Santa Monica, CA90402",34.0320396,-118.5097061,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-11,5.816917412
118,"Airport Avenue, Santa Monica, CA90405",34.0178143,-118.4473286,0,478.7812855,13405.87599,36.72842738,40.40127012,depot-8,15.35248265,depot-9,9.696304829,depot-10,8.484266725,depot-15,7.272228622
119,"Alisal Court, Santa Monica, CA90402",34.0406633,-118.509218,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-12,0
120,"Alisal Lane, Santa Monica, CA90402",34.0402818,-118.5095849,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-12,0
121,"Alta Avenue, Santa Monica, CA90402",34.0247671,-118.5089937,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-11,5.816917412
122,"Amalfi Court, Santa Monica, CA90402",34.0330676,-118.5116388,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
123,"Amalfi Drive, Santa Monica, CA90402",34.0323474,-118.5132699,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
124,"Appian Way, Santa Monica, CA90401",34.0075098,-118.4924572,1,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
125,"Arcadia Terrace, Santa Monica, CA90401",34.0083927,-118.4934689,0,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
126,"Arizona Avenue, Santa Monica, CA90401",34.0171162,-118.4972486,1,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
127,"Arizona Avenue, Santa Monica, CA90404",34.0265309,-118.4857078,0,258.5636307,7239.78166,19.83501825,21.81852007,depot-3,8.291037628,depot-9,5.236444817,depot-10,4.581889215,depot-12,3.927333613
128,"Arizona Place, Santa Monica, CA90404",34.0194805,-118.495358,1,176.441435,4940.36018,13.53523337,14.88875671,depot-4,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
129,"Ashland Avenue, Santa Monica, CA90405",34.0001965,-118.4814561,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-11,3.529954103
130,"Ashland Pl N, Santa Monica, CA90405",34.0052557,-118.4732608,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-14,3.835124979
131,"Ashland Place, Santa Monica, CA90405",34.0001965,-118.4814561,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-11,3.529954103
132,"Attilla Road, Santa Monica, CA90402",34.0379788,-118.5169135,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
133,"Barnard Way, Santa Monica, CA90405",34.0016865,-118.4867156,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
134,"Bay Street, Santa Monica, CA90405",34.0135437,-118.4787339,0,392.3809358,10986.6662,30.10045535,33.11050088,depot-5,12.58199034,depot-9,7.946520212,depot-10,6.953205185,depot-12,5.959890159
135,"Beach Street, Santa Monica, CA90405",34.0022488,-118.4883355,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
