street_id,street_address,latitude,longitude,ZEDZ(inside =1),pop_distribution,parcel_delivered(#/year),parcel_delivered(#/day),parcel_delivered(kg/day),USPS_Depot_name,USPS_Depot_parcel(kg),UPS_Depot_name,UPS_Depot_parcel(kg),Amazon_Depot_name,Amazon_Depot_Depot_parcel(kg),FedEX_Depot_name,FedEX_Depot_parcel(kg),USPS_ID,UPS_ID,Amazon_ID,FedEx_ID
68,"26th Street, Santa Monica, CA90403",34.0361543,-118.4778601,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-2,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-13,3.996621848,2,9,10,13
69,"26th Street, Santa Monica, CA90404",34.03302,-118.474037,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-3,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,3,9,10,14
70,"26th Street, Santa Monica, CA90405",34.02875,-118.4717975,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-3,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,3,9,10,14
71,"27th Street, Santa Monica, CA90404",34.025047,-118.4725694,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-3,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,3,9,10,14
72,"27th Street, Santa Monica, CA90405",34.0248212,-118.4599269,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,5,9,10,14
73,"28th Street, Santa Monica, CA90405",34.0194385,-118.4558742,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-8,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,8,9,10,14
74,"29th Street, Santa Monica, CA90405",34.0242645,-118.4592718,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,5,9,10,14
75,"2nd Court, Santa Monica, CA90403",34.022201,-118.506132,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
76,"2nd Street, Santa Monica, CA90401",34.0123751,-118.4946573,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
77,"2nd Street, Santa Monica, CA90403",34.022201,-118.506132,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
78,"2nd Street, Santa Monica, CA90405",34.0138739,-118.4962475,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
79,"30th Street, Santa Monica, CA90405",34.020396,-118.4549669,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-8,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,8,9,10,14
80,"31st Street, Santa Monica, CA90405",34.0195669,-118.4507518,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-8,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,8,9,10,14
81,"32nd Street, Santa Monica, CA90405",34.0212126,-118.4524403,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-8,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,8,9,10,14
82,"33rd Street, Santa Monica, CA90405",34.0243898,-118.4532301,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-8,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,8,9,10,14
83,"34th Street, Santa Monica, CA90404",34.026404,-118.452931,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-8,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,8,9,10,14
